SoGioHoc,DiemThi
4.4,26.2
9.6,38.4
7.6,34.2
6.4,27.0
2.4,20.6
2.4,21.7
1.5,21.7
8.8,36.0
6.4,29.4
7.4,32.5
1.2,19.8
9.7,39.9
8.5,35.2
2.9,23.3
2.6,21.7
2.7,23.7
3.7,22.8
5.7,28.6
4.9,26.5
3.6,21.1
6.5,31.8
2.3,21.3
3.6,24.0
4.3,25.3
5.1,24.9
8.1,34.4
2.8,21.3
5.6,27.4
6.3,30.4
1.4,19.3
6.5,35.0
2.5,21.6
1.6,19.5
9.5,38.6
9.7,35.4
8.3,35.7
3.7,24.4
1.9,24.7
7.2,32.6
5.0,28.1
2.1,20.2
5.5,26.4
1.3,20.5
9.2,39.5
3.3,24.8
7.0,30.7
3.8,27.3
5.7,26.4
5.9,30.9
2.7,26.1
9.7,37.3
8.0,33.9
9.5,38.9
9.1,36.7
6.4,27.9
9.3,38.4
1.8,17.4
2.8,22.9
1.4,16.7
3.9,27.8
4.5,24.7
3.4,22.9
8.5,37.9
4.2,23.0
3.5,24.2
5.9,32.4
2.3,17.5
8.2,35.9
1.7,19.8
9.9,41.3
8.0,32.5
2.8,19.4
1.0,18.5
8.3,36.3
7.4,34.0
7.6,34.7
7.9,33.4
1.7,19.7
4.2,26.1
2.0,18.6
8.8,40.7
6.6,32.4
4.0,22.6
1.6,20.3
3.8,22.6
3.9,26.3
7.6,36.3
6.7,30.1
9.0,39.4
5.2,28.8
2.1,21.9
7.4,37.3
7.8,34.0
6.1,28.7
7.9,33.0
5.4,26.9
5.7,29.1
4.8,27.7
1.2,18.6
2.0,21.7
